"taxon","protectionscore_no_effectiveness_2024","protectionscore_no_effectiveness_2017","protectioncategory_no_effectiveness_2024","protectioncategory_no_effectiveness_2017","protectionscore_2024","protectionscore_2017","protectioncategory_2024","protectioncategory_2017"
"Abutilon angulatum",95851,87902.75,"Well Protected","Well Protected",95851,87902.75,"Well Protected","Well Protected"
"Acalypha sonderiana",6008.7,5672.5,"Well Protected","Well Protected",4366.06,5091.18,"Well Protected","Well Protected"
"Acmadenia burchellii",139.19,139.22,"Well Protected","Well Protected",80.497,73.418,"Moderately Protected","Moderately Protected"
"Acmadenia tetracarpellata",176.2,176.2,"Well Protected","Well Protected",176.2,88.1,"Well Protected","Moderately Protected"
"Adenandra villosa subsp. orbicularis",629.3,611.45,"Well Protected","Well Protected",315.11,305.075,"Well Protected","Well Protected"
"Adenia fruticosa subsp. fruticosa",494.05,494.1,"Well Protected","Well Protected",217.705,217.66,"Well Protected","Well Protected"
"Adenium swazicum",6466.13,6467.39,"Well Protected","Well Protected",6466.13,3686.525,"Well Protected","Well Protected"
"Adenogramma littoralis",0,0,"Not Protected","Not Protected",0,0,"Not Protected","Not Protected"
"Adromischus leucophyllus",40.3416717510677,37.9255643685174,"Poorly Protected","Poorly Protected",32.0683343502135,34.8932275777913,"Poorly Protected","Poorly Protected"
"Adromischus marianiae",14238.95,13886.3,"Well Protected","Well Protected",6660.605,9021.26,"Well Protected","Well Protected"
"Aeollanthus buchnerianus",18879.75,17110.5,"Well Protected","Well Protected",16723.74,13842.525,"Well Protected","Well Protected"
"Agathosma affinis",9879.5,9880.6,"Well Protected","Well Protected",8061,6771.05,"Well Protected","Well Protected"
"Agathosma geniculata",2469.1,2469.6,"Well Protected","Well Protected",1246.49,543.37,"Well Protected","Well Protected"
"Agathosma hirta",1136.1,1137.2,"Well Protected","Well Protected",575.6,341.06,"Well Protected","Well Protected"
"Agathosma longicornu",2040.6,2044.95,"Well Protected","Well Protected",1023.05,1391.85,"Well Protected","Well Protected"
"Agathosma peglerae",422.5,422.85,"Well Protected","Well Protected",249.125,110.33,"Well Protected","Well Protected"
"Agelanthus natalitius subsp. zeyheri",29595.1,29203.7,"Well Protected","Well Protected",24783.92,22526.4,"Well Protected","Well Protected"
"Albuca ciliaris",0,0,"Not Protected","Not Protected",0,0,"Not Protected","Not Protected"
"Albuca clanwilliamaegloria",0,0,"Not Protected","Not Protected",0,0,"Not Protected","Not Protected"
"Albuca echinosperma",1410.05,1415.8,"Well Protected","Well Protected",751.585,691.525,"Well Protected","Well Protected"
"Albuca etesiogaripensis",10,10,"Poorly Protected","Poorly Protected",1,1,"Not Protected","Not Protected"
"Albuca hesquaspoortensis",0,0,"Not Protected","Not Protected",0,0,"Not Protected","Not Protected"
"Albuca juncifolia subsp. xanthocodon",324.6,324.95,"Well Protected","Well Protected",324.6,162.475,"Well Protected","Well Protected"
"Albuca longipes",35995.8,35405,"Well Protected","Well Protected",23263.28,23869.67,"Well Protected","Well Protected"
"Albuca osmynella",1.9,1.9,"Not Protected","Not Protected",0.19,1.9,"Not Protected","Not Protected"
"Alchemilla elongata",1675.2,1594.35,"Well Protected","Well Protected",1627.45,1001.86,"Well Protected","Well Protected"
"Alchemilla natalensis",8291.15,7121.6,"Well Protected","Well Protected",7329.1,3761.68,"Well Protected","Well Protected"
"Alectra orobanchoides",54635.3,46226.6,"Well Protected","Well Protected",54635.3,46226.6,"Well Protected","Well Protected"
"Alectra sessiliflora",108091.8,105131,"Well Protected","Well Protected",108091.8,105131,"Well Protected","Well Protected"
"Alepidea insculpta",100.562851782364,100.562851782364,"Well Protected","Well Protected",100.562851782364,50.281425891182,"Well Protected","Moderately Protected"
"Alepidea jenkinsii",1.50928372362373,1.48032864019689,"Not Protected","Not Protected",1.50928372362373,1.46223171305512,"Not Protected","Not Protected"
"Allophylus dregeanus",18753,17794.1,"Well Protected","Well Protected",13905.75,14738.99,"Well Protected","Well Protected"
"Aloe glauca",450.57,429.07,"Well Protected","Well Protected",235.108,272.085,"Well Protected","Well Protected"
"Aloe maculata",35043,28529.8,"Well Protected","Well Protected",35037.8,28077.55,"Well Protected","Well Protected"
"Aloe meyeri",107.152974504249,107.152974504249,"Well Protected","Well Protected",10.7152974504249,10.7152974504249,"Poorly Protected","Poorly Protected"
"Aloe viridiana",152.61,119.62,"Well Protected","Well Protected",152.61,115.88,"Well Protected","Well Protected"
"Alsophila dregei",17518.9228007181,15079.1023339318,"Well Protected","Well Protected",14658.6678635548,11591.2351885099,"Well Protected","Well Protected"
"Amphibolia succulenta",5743.1,5587.7,"Well Protected","Well Protected",5743.1,5587.7,"Well Protected","Well Protected"
"Anacampseros albissima",9712.7,8197.1,"Well Protected","Well Protected",2960.67,2225.15,"Well Protected","Well Protected"
"Anaxeton hirsutum",660.25,660.35,"Well Protected","Well Protected",430.475,312.015,"Well Protected","Well Protected"
"Anemone fanninii",9867.5,9568.55,"Well Protected","Well Protected",9547.555,4841.815,"Well Protected","Well Protected"
"Anisochaeta mikanioides",91.95,91.95,"Moderately Protected","Moderately Protected",91.825,72.425,"Moderately Protected","Moderately Protected"
"Anisotoma natalensis",0.44,0.44,"Not Protected","Not Protected",0.4,0.084,"Not Protected","Not Protected"
"Antegibbaeum fissoides",3136.5,2985.4,"Well Protected","Well Protected",3136.5,2982.65,"Well Protected","Well Protected"
"Antherotoma phaeotricha",684.95,532.85,"Well Protected","Well Protected",621.4,463.275,"Well Protected","Well Protected"
"Anthochortus ecklonii",24504.4,24476.9,"Well Protected","Well Protected",17726.45,14386.84,"Well Protected","Well Protected"
"Antimima bracteata",10,0,"Poorly Protected","Not Protected",5,0,"Poorly Protected","Not Protected"
"Antimima hallii",0,0,"Not Protected","Not Protected",0,0,"Not Protected","Not Protected"
